english,basque,context
line,zuzen,Mathematics > Algebra
line,zuzen; lerro,Technological Sciences > Construction technology
line,linea; linea elektriko,Technological Sciences > Electrical technology and engineering
line,lerro,Mathematics > Analysis and functional analysis
line,lerro,Physics > General Physics specialities
line of sight,begi-lerro; ikuslerro,Technological Sciences > Construction technology
line of sight,ikuspen zuzeneko ibilbide,Technological Sciences > Telecommunications technology
line of sight,proiekzio-izpi; proiekzio-lerro,Technological Sciences > Industrial technology
line segment,segmentu; segmentu lineal; zuzenki,Technological Sciences > Mechanical engineering and technology
line segment,segmentu; segmentu lineal,Physics > Electro-magnetism
line segment,segmentu; zuzenki,Mathematics > Analysis and functional analysis
line segment,lerro-segmentu; segmentu lineal,Technological Sciences > Telecommunications technology
linear momentum,momentu lineal,Physics > Mechanics
linear momentum,momentu; momentu lineal,Physics > General Physics specialities
linear momentum,higidura-kantitate; momentu lineal,Physics > Aplied Physics
linear momentum,higidura-kantitate,Physics > Fluids (physics of)
linear momentum,higidura kantitate; higidura-kantitate,Technological Sciences > Environmental technology and engineering
linear momentum,higidura-kantitate; momentu lineal,Physics > Electro-magnetism
link,kate-maila,Economic Sciences > Organization and management of enterprises
link,lotura-adar,Technological Sciences > Electrical technology and engineering
link,esteka,Physics > Electro-magnetism
link,estekatu; lotu; esteka; lotura,Technological Sciences > Computer technology
link,lotura,Technological Sciences > Telecommunications technology
link,esteka; lotura,Technological Sciences > Instrumentation technology
link,kate-maila,Technological Sciences > Mechanical engineering and technology
link,lotura,Medical Sciences > Pharmaceutical Technology
liquid layer,fase likido,Chemistry > Organic chemistry
liquid layer,likido-geruza,Technological Sciences > Environmental technology and engineering
liquid-solid chromatography,likido-solido kromatografia,Life sciences > Biochemistry and Molecular Biology
liquid-solid chromatography,solido-likido kromatografia,Chemistry > Organic chemistry
location,kokapen,Technological Sciences > Projects
location,lokalizazio,Medical Sciences > Medical diagnostic and Treatment Technology
location,kokapen,Medical Sciences > Pharmacology
lock,sarraila; blokeaketa; blokeo; erreserba,Technological Sciences > Computer technology
lock,itxitura,Medical Sciences > Pharmaceutical Technology
longitude,longitude,Technological Sciences > Construction technology
longitude,luzera,Mathematics > Analysis and functional analysis
lumen,argi,Life sciences > Human physiology
lumen,alde luminal,Life sciences > Cell biology
lumped element,osagai bereizi; osagai diskretu,Technological Sciences > Electronic technology
lumped element,elementu kontzentratu,Physics > Electro-magnetism
lysogenic cycle,ziklo lisogeniko,Life sciences > Microbiology
lysogenic cycle,fase lisogeniko,Life sciences > Biochemistry and Molecular Biology
lytic cycle,ziklo litiko,Medical Sciences > Microbiology
lytic cycle,ziklo litiko,Life sciences > Microbiology
lytic cycle,fase litiko,Life sciences > Biochemistry and Molecular Biology
machine,makina,Physics > Aplied Physics
machine,makina,Technological Sciences > Computer technology
machine,makina; aparatu,Medical Sciences > Pharmaceutical Technology
machine,makina,Technological Sciences > Electrical technology and engineering
machine,mekanizatu,Technological Sciences > Mechanical engineering and technology
mad cow disease,behi eroen gaitz,Life sciences > Microbiology
mad cow disease,behi-eroen gaitz; behi-eroen gaixotasun,Medical Sciences > Microbiology
maintenance,mantenu,Life sciences > Animal Biology
maintenance,mantentze,Economic Sciences > Organization and management of enterprises
maintenance,mantentze,Technological Sciences > Projects
malabsorption,malabsortzio,Medical Sciences > Pathology
malabsorption,xurgapen txar,Medical Sciences > Pharmacology
male,ar,Life sciences > Animal Biology
male,gizon,Medical Sciences > Pharmacology
male,ar,Life sciences > Cell biology
manpower,lanesku,Economic Sciences > Organization and management of enterprises
manpower,lanesku,Economic Sciences > General economics
manpower,eskulan,Technological Sciences > Projects
manual,gida-liburu,Medical Sciences > Pharmacology
manual,eskuliburu,Technological Sciences > Projects
manufacture,manufaktura; fabrikatu,Economic Sciences > Organization and management of enterprises
manufacture,fabrikazio,Technological Sciences > Instrumentation technology
manufacturing,fabrikazio,Economic Sciences > Organization and management of enterprises
manufacturing,ekoizpen,Medical Sciences > Pharmaceutical Technology
manufacturing process,fabrikazio-prozesu,Economic Sciences > Organization and management of enterprises
manufacturing process,ekoizpen-prozesu,Medical Sciences > Pharmaceutical Technology
map,aplikazio,Mathematics > Algebra
map,mapa,Technological Sciences > Construction technology
map,mapa,Technological Sciences > Environmental technology and engineering
map,aplikazio; funtzio,Mathematics > Analysis and functional analysis
map,aplikazio,Mathematics > Topology
mapping,mapaketa; mapping,Technological Sciences > Telecommunications technology
mapping,aplikazio; funtzio,Mathematics > Analysis and functional analysis
mapping,aplikazio,Mathematics > Topology
mapping,egokitzapen,Technological Sciences > Computer technology
marginal utility,baliagarritasun marjinal; utilitate marjinal,Economic Sciences > Economic theory
marginal utility,asegarritasun erantsi,Economic Sciences > General economics
market price,merkatuko prezio,Economic Sciences > Economic accounting
market price,merkatu-prezio,Economic Sciences > General economics
market price,merkatu-prezio; merkatuko prezio,Economic Sciences > Organization and management of enterprises
mask,maskara,Technological Sciences > Electronic technology
mask,estalketa,Medical Sciences > Pharmacology
mask,maskara,Technological Sciences > Computer technology
mass transfer,masa-transferentzia,Chemistry > Analytical chemistry
mass transfer,masa-garraio,Chemistry > Physical chemistry
mass transfer,masa-transferentzia; materia-transferentzia,Technological Sciences > Environmental technology and engineering
mass transfer,masa-transferentzia,Technological Sciences > Food technology
master,maisu; nagusi,Technological Sciences > Instrumentation technology
master,jabe,Technological Sciences > Computer technology
material,material,Physics > Aplied Physics
material,materia; materia biodegradagarri,Technological Sciences > Environmental technology and engineering
matrix element,matrizearen osagai,Technological Sciences > Telecommunications technology
matrix element,matrize-elementu,Physics > Thermodynamics
matrix element,matrize-osagai,Technological Sciences > Environmental technology and engineering
mean value,batezbesteko,Technological Sciences > Telecommunications technology
mean value,batez besteko balio,Mathematics > Analysis and functional analysis
measure,neurri,Mathematics > Analysis and functional analysis
measure,neurri,Mathematics > Statistics
measure,neurri; neurtu,Physics > Electro-magnetism
measure,neurketa,Technological Sciences > Environmental technology and engineering
measure,neurri,Technological Sciences > Instrumentation technology
measure,neurri,Technological Sciences > Construction technology
measurement,neurketa,Life sciences > Animal Biology
measurement,neurketa,Technological Sciences > Instrumentation technology
measurement,neurri,Physics > General Physics specialities
measurement,neurketa,Medical Sciences > Pharmaceutical Technology
measurement,neurri; neurketa,Technological Sciences > Projects
measurement,neurketa,Technological Sciences > Construction technology
measurement,neurketa,Physics > Electro-magnetism
measurement,neurri,Medical Sciences > Pharmacology
measurement,neurketa,Chemistry > Analytical chemistry
measurement,neurketa,Technological Sciences > Electrical technology and engineering
measurement,neurketa,Technological Sciences > Electronic technology
mechanism of action,akzio-mekanismo,Life sciences > Biochemistry and Molecular Biology
mechanism of action,akzio-mekanismo; ekintza-mekanismo,Medical Sciences > Pharmacology
mechanism of action,akzio-bide; ekintza-bide; ekintza-mekanismo,Chemistry > Organic chemistry
mechanism of action,jarduera-mekanismo,Medical Sciences > Microbiology
melting point,fusio-puntu,Chemistry > Physical chemistry
melting point,urtze-puntu,Life sciences > Biochemistry and Molecular Biology
melting point,fusio-puntu,Technological Sciences > Food technology
melting point,urtze-puntu,Medical Sciences > Pharmaceutical Technology
melting point,fusio-puntu; fusio-tenperatura,Technological Sciences > Chemical technology and engineering
melting point,etete-puntu; urtze-puntu,Technological Sciences > Electrical technology and engineering
melting point,fusio-puntu; urtze-puntu,Chemistry > Organic chemistry
melting point,urtze-puntu,Technological Sciences > Environmental technology and engineering
melting temperature,fusio-tenperatura,Chemistry > Physical chemistry
melting temperature,fusio-tenperatura; urtze-tenperatura,Technological Sciences > Environmental technology and engineering
melting temperature,fusio-puntu; fusio-tenperatura,Technological Sciences > Chemical technology and engineering
melting temperature,urtze-tenperatura,Technological Sciences > Mechanical engineering and technology
member,atal,Mathematics > Analysis and functional analysis
member,kide,Technological Sciences > Computer technology
memory,memoria,Technological Sciences > Telecommunications technology
memory,memoria,Technological Sciences > Instrumentation technology
memory,memoria,Technological Sciences > Computer technology
memory,"memoria, oroimen",Medical Sciences > Pharmacology
mesh,sare,Medical Sciences > Pharmaceutical Technology
mesh,maila,Technological Sciences > Electronic technology
mesh,maila; sare-begi,Technological Sciences > Electrical technology and engineering
mesh,maila,Technological Sciences > Computer technology
metabolic activity,aktibitate metaboliko,Technological Sciences > Environmental technology and engineering
metabolic activity,jarduera metaboliko; metabolismo-jarduera,Life sciences > Animal Biology
metabolic activity,jarduera metaboliko,Life sciences > Cell biology
meter,metro,Physics > Aplied Physics
meter,neurgailu,Technological Sciences > Electronic technology
meter,metro,Chemistry > Physical chemistry
meter,metro; neurgailu,Physics > Electro-magnetism
meter,metro,Physics > General Physics specialities
microbial culture,mikroorganismoaren kultura; mikroorganismoen hazkuntza; mikroorganismoen ugalketa,Medical Sciences > Microbiology
microbial culture,mikrobio-kultura; mikroorganismo-kultura,Technological Sciences > Environmental technology and engineering
microbial population,mikrobio-populazio; mikroorganismo-populazio,Technological Sciences > Environmental technology and engineering
microbial population,mikroorganismoen populazio,Medical Sciences > Microbiology
migration,zelulen migrazio,Life sciences > Cell biology
migration,migrazio,Technological Sciences > Environmental technology and engineering
mill,fresatu,Technological Sciences > Mechanical engineering and technology
mill,errota,Medical Sciences > Pharmaceutical Technology
minimum inhibitory concentration,inhibizioa eragiteko gutxieneko kontzentrazio; MIC,Medical Sciences > Microbiology
minimum inhibitory concentration,kontzentrazio minimo inhibitorio,Chemistry > Organic chemistry
minor,minor,Mathematics > Algebra
minor,azpideterminante,Mathematics > Analysis and functional analysis
mixture,nahastura,Physics > Thermodynamics
mixture,nahaste,Chemistry > Physical chemistry
mixture,nahasketa; nahaste,Technological Sciences > Environmental technology and engineering
mixture,nahasketa; nahaste,Medical Sciences > Pharmaceutical Technology
mixture,nahaste,Chemistry > Analytical chemistry
mobility,mugikortasun,Technological Sciences > Environmental technology and engineering
mobility,higikortasun; mugikortasun,Economic Sciences > Economic theory
mobility,higikortasun,Physics > Electro-magnetism
mobility,mugikortasun,Medical Sciences > Pharmacology
mode,modu,Physics > Electro-magnetism
mode,moda,Economic Sciences > Econometrics
mode,modu,Physics > General Physics specialities
mode,moda,Mathematics > Statistics
mode,modu,Technological Sciences > Instrumentation technology
model,eredu; modelo; modelatu,Technological Sciences > Telecommunications technology
model,eredu; modelo,Technological Sciences > Electrical technology and engineering
model,modelo,Physics > Aplied Physics
model,eredu,Mathematics > Analysis and functional analysis
model,eredu,Economic Sciences > Econometrics
model,maketa,Technological Sciences > Projects
model,eredu,Physics > Electro-magnetism
model,eredu,Medical Sciences > Pharmacology
molar absorptivity,absortzio molarraren koefiziente; iraungitze molarreko koefiziente; xurgapen molarreko koefiziente,Life sciences > Biochemistry and Molecular Biology
molar absorptivity,absortibitate molar,Chemistry > Organic chemistry
molar extinction coefficient,itzaltze-koefiziente molar,Chemistry > Physical chemistry
molar extinction coefficient,absortzio molarraren koefiziente; iraungitze molarreko koefiziente; xurgapen molarreko koefiziente,Life sciences > Biochemistry and Molecular Biology
molecular structure,egitura molekular,Chemistry > Organic chemistry
molecular structure,estruktura molekular,Technological Sciences > Food technology
molecular weight,masa molekular,Chemistry > Organic chemistry
molecular weight,masa molekular,Chemistry > Analytical chemistry
molecular weight,masa molekular; pisu molekular,Technological Sciences > Environmental technology and engineering
molecular weight,pisu molekular,Chemistry > Physical chemistry
molecular weight,pisu molekular,Life sciences > Microbiology
molecular weight,pisu molekular,Life sciences > Human physiology
molecular weight,pisu molekular,Medical Sciences > Pharmaceutical Technology
molecular weight,masa molekular; pisu molekular,Life sciences > Biochemistry and Molecular Biology
momentum,higidura-kantitate; momentu lineal,Physics > Electro-magnetism
momentum,momentu,Physics > Thermodynamics
momentum,higidura-kantitate,Physics > Fluids (physics of)
momentum,momentu; momentu lineal,Physics > General Physics specialities
momentum,momentu lineal,Physics > Mechanics
momentum,higidura kantitate; higidura-kantitate,Technological Sciences > Environmental technology and engineering
money market,diruaren merkatu,Economic Sciences > Economic theory
money market,merkatu monetario,Economic Sciences > General economics
monitoring,ikuskapen,Technological Sciences > Telecommunications technology
monitoring,monitorizazio,Technological Sciences > Instrumentation technology
monitoring system,gainbegiratze-sistema,Technological Sciences > Instrumentation technology
monitoring system,ikuskapen-sistema,Technological Sciences > Telecommunications technology
mortality,hilkortasun; mortalitate,Medical Sciences > Pharmacology
mortality,hilkortasun-tasa,Medical Sciences > Microbiology
mortality,hilkortasun,Medical Sciences > Public health
mortality,hilkortasun,Life sciences > Animal Biology
mould,molde; moldeatu,Technological Sciences > Mechanical engineering and technology
mould,lizun,Life sciences > Microbiology
mould,lizun,Technological Sciences > Environmental technology and engineering
mountain range,mendikate-lerro; mendilerro,Technological Sciences > Environmental technology and engineering
mountain range,mendikate,Earth and Space Sciences > Geology
mouth,ibai-aho,Technological Sciences > Environmental technology and engineering
mouth,aho,Life sciences > Animal Biology
mouth,aho,Medical Sciences > Pharmacology
movement,higidura,Physics > Mechanics
movement,higidura; mugimendu,Medical Sciences > Pharmaceutical Technology
movement,higidura,Physics > Electro-magnetism
movement,mugimendu,Medical Sciences > Pharmacology
moving average,batezbesteko higikorrak,Economic Sciences > Econometrics
moving average,batezbesteko mugikor,Technological Sciences > Environmental technology and engineering
multiplier,biderkagailu,Technological Sciences > Telecommunications technology
multiplier,biderkatzaile,Mathematics > Analysis and functional analysis
multiplier,biderkatzaile,Mathematics > Operations research
mutagen,konposatu mutageniko,Life sciences > Biochemistry and Molecular Biology
mutagen,mutageno,Life sciences > Microbiology
mutagenic agent,konposatu mutageniko,Life sciences > Biochemistry and Molecular Biology
mutagenic agent,eragile mutageniko,Medical Sciences > Microbiology
neck,lepo,Medical Sciences > Pharmacology
neck,tximinia,Technological Sciences > Environmental technology and engineering
net profit,mozkin garbi,Economic Sciences > Economic accounting
net profit,irabazi garbi; ondare neto,Economic Sciences > General economics
net profit,irabazi garbi; mozkin garbi,Economic Sciences > Organization and management of enterprises
net yield,errendimendu garbi; etekin garbi,Economic Sciences > Economic accounting
net yield,errentagarritasun garbi,Economic Sciences > Organization and management of enterprises
Newton's laws,Newtonen lege,Technological Sciences > Construction technology
Newton's laws,Newton-en legeak,Physics > Aplied Physics
node,korapilo,Technological Sciences > Electrical technology and engineering
node,korapilo,Technological Sciences > Electronic technology
node,nodo,Physics > Aplied Physics
node,nodo,Physics > General Physics specialities
node,nodo,Technological Sciences > Computer technology
nominal GDP,Barne Produktu Gordin nominal; BPG nominal,Economic Sciences > Economic theory
nominal GDP,barne-produktu gordin nominal; barne-produktu gordina prezio konstantetan; BPGd nominal,Economic Sciences > General economics
nominal value,balio izendatu; balio nominal,Technological Sciences > Electrical technology and engineering
nominal value,balio nominal,Economic Sciences > Organization and management of enterprises
nominal value,balio izendatu,Technological Sciences > Electronic technology
norm,arau estandar; estandar,Technological Sciences > Computer technology
norm,norma,Technological Sciences > Electronic technology
norm,norma,Mathematics > Analysis and functional analysis
norm,arau,Technological Sciences > Instrumentation technology
norm,arau; norma,Technological Sciences > Projects
normal distribution,banaketa normala,Mathematics > Statistics
normal distribution,banaketa normal; distribuzio normal; Gauss-en banaketa; Gauss-en distribuzioa,Technological Sciences > Environmental technology and engineering
normal distribution,banaketa normal,Medical Sciences > Pharmaceutical Technology
normal distribution,banaketa normal,Economic Sciences > Econometrics
NOT gate,EZ atea; NOT ate,Technological Sciences > Computer technology
NOT gate,alderanzgailu; inbertsore; NOT ate logiko,Technological Sciences > Electronic technology
null hypothesis,hipotesi nulu,Mathematics > Statistics
null hypothesis,hipotesi huts,Chemistry > Analytical chemistry
nutrient,elikagai,Life sciences > Cell biology
nutrient,elikagai; nutriente,Life sciences > Animal Biology
nutrient,mantenugai,Technological Sciences > Food technology
nutrient,elikagai; mantenugai; nutriente,Technological Sciences > Environmental technology and engineering
objective,helburu,Technological Sciences > Projects
objective,objektibo,Physics > Optics
observable,behagarri,Physics > Theoretical physics
observable,behagai,Physics > General Physics specialities
obstructive pulmonary disease,biriketako gaixotasun butxatzaile,Medical Sciences > Pathology
obstructive pulmonary disease,biriketako gaixotasun buxagarri,Medical Sciences > Pharmacology
ocean current,itsaslaster,Earth and Space Sciences > Metereology and Oceanography
ocean current,ozeano-korronte,Technological Sciences > Environmental technology and engineering
ocean energy,ozeaniar energia,Technological Sciences > Electrical technology and engineering
ocean energy,itsas energia,Earth and Space Sciences > Metereology and Oceanography
ointment,pomada,Medical Sciences > Pharmaceutical Technology
ointment,ukendu,Chemistry > Organic chemistry
operating cycle,ustiapen-ziklo; ustiapeneko ziklo,Economic Sciences > Economic accounting
operating cycle,lan-ziklo,Technological Sciences > Electronic technology
operation,eragiketa,Technological Sciences > Electrical technology and engineering
operation,operazio,Technological Sciences > Instrumentation technology
operation,funtzionamendu,Medical Sciences > Pharmaceutical Technology
operation,eragiketa,Technological Sciences > Telecommunications technology
operation,eragiketa,Mathematics > Analysis and functional analysis
operation,eragiketa,Physics > General Physics specialities
operation,eragiketa,Technological Sciences > Environmental technology and engineering
operation,eragiketa,Economic Sciences > Organization and management of enterprises
operation,operazio,Technological Sciences > Electronic technology
operation,eragiketa,Technological Sciences > Computer technology
operation,eragiketa,Mathematics > Algebra
optimize,optimizatu,Mathematics > Analysis and functional analysis
optimize,hobereneratze; optimizatze,Economic Sciences > Economic theory
oral contraceptive,ahotiko antikontzeptibo; ahotiko antisorgailu,Chemistry > Organic chemistry
oral contraceptive,aho bidetiko antisorgailu,Medical Sciences > Pharmacology
order,ordena; maila,Mathematics > Analysis and functional analysis
order,ordena,Chemistry > Physical chemistry
order,ordena,Physics > General Physics specialities
order,xedapen,Technological Sciences > Projects
order,ordena,Life sciences > Microbiology
order,ordena,Physics > Thermodynamics
order,maila; ordena,Technological Sciences > Telecommunications technology
order,agindu,Medical Sciences > Nutritional sciences
order,eskabide,Economic Sciences > Organization and management of enterprises
order,ordena,Mathematics > Algebra
order,ordena,Medical Sciences > Microbiology
origin,jatorri; jatorri ontogeniko,Life sciences > Cell biology
origin,iturburu-puntu,Mathematics > Operations research
origin,jatorri; koordenatu-jatorri,Technological Sciences > Industrial technology
origin,jatorri,Technological Sciences > Mechanical engineering and technology
origin,ardatz-jatorri; jatorri; koordenatu-jatorri; O jatorri; O puntu,Mathematics > Analysis and functional analysis
origin,jatorri,Physics > Electro-magnetism
origin,jatorri,Medical Sciences > Medical diagnostic and Treatment Technology
origin,jatorri,Medical Sciences > Pharmacology
origin,jatorri,Mathematics > Algebra
origin of replication,erreplikazio-iturburu; erreplikazio-jatorri,Life sciences > Biochemistry and Molecular Biology
origin of replication,erreplikazio jatorri,Medical Sciences > Microbiology
osmolarity,osmolaritate,Chemistry > Organic chemistry
osmolarity,osmolaltasun; osmolartasun,Life sciences > Biochemistry and Molecular Biology
osmolarity,osmolaritate,Life sciences > Cell biology
outcome,emaitza,Medical Sciences > Pharmacology
outcome,erantzun-aldagai,Mathematics > Statistics
outcome,emaitza,Mathematics > Analysis and functional analysis
output,ekoizpen; produkzio,Economic Sciences > Economic theory
output,ekoizpen; produkzio,Technological Sciences > Environmental technology and engineering
output,irteera,Technological Sciences > Computer technology
output,emaitza; output,Technological Sciences > Projects
output,irteera,Technological Sciences > Electrical technology and engineering
output,irteera,Technological Sciences > Telecommunications technology
output,irteera,Technological Sciences > Electronic technology
output,irteera,Technological Sciences > Instrumentation technology
oxidizing agent,oxidatzaile,Chemistry > Organic chemistry
oxidizing agent,agente oxidatzaile; oxidatzaile,Technological Sciences > Environmental technology and engineering
oxidizing agent,agente oxidatzaile,Life sciences > Microbiology
packed column,zutabe paketatu,Chemistry > Analytical chemistry
packed column,dorre bete; zutabe bete,Technological Sciences > Environmental technology and engineering
packing,paketatze,Chemistry > Analytical chemistry
packing,enbalaje,Economic Sciences > Organization and management of enterprises
packing,betegarri,Technological Sciences > Environmental technology and engineering
packing,paketatze,Life sciences > Biochemistry and Molecular Biology
pancreas,are,Life sciences > Cell biology
pancreas,area,Medical Sciences > Pharmacology
pancreas,are,Life sciences > Human physiology
parallel line,lerro paralelo,Technological Sciences > Industrial technology
parallel line,zuzen paralelo,Mathematics > Analysis and functional analysis
paraxial approximation,Gauss-en hurbilketa; optika paraxial,Physics > Electro-magnetism
paraxial approximation,hurbilketa paraxial,Physics > Optics
parity,paritate,Physics > Theoretical physics
parity,parekotasun,Economic Sciences > Economic theory
part,zati,Mathematics > Analysis and functional analysis
part,atal,Medical Sciences > Pharmacology
part,atal,Medical Sciences > Pharmaceutical Technology
participation,partaidetza,Economic Sciences > General economics
participation,parte-hartze,Technological Sciences > Environmental technology and engineering
partition,trenkada,Technological Sciences > Construction technology
partition,banatze,Medical Sciences > Pharmaceutical Technology
partition,partiketa,Mathematics > Topology
partition,partiketa,Mathematics > Analysis and functional analysis
partition,banaketa,Chemistry > Analytical chemistry
partition,partiketa,Mathematics > Algebra
partition coefficient,banaketa-koefiziente; partizio-koefiziente,Chemistry > Organic chemistry
partition coefficient,banaketa-erlazio,Chemistry > Analytical chemistry
partition coefficient,banaketa-koefiziente,Medical Sciences > Pharmaceutical Technology
partition coefficient,banaketa-koefiziente,Life sciences > Biochemistry and Molecular Biology
path,ibilbide,Physics > Fluids (physics of)
path,ibilbide,Technological Sciences > Electronic technology
path,bide; ibilbide,Physics > Electro-magnetism
path,ibilbide,Physics > Mechanics
path,bide,Mathematics > Analysis and functional analysis
path,bide,Mathematics > Topology
patient,gaixo,Medical Sciences > Pharmaceutical Technology
patient,gaixo,Medical Sciences > Pharmacology
patient,paziente,Medical Sciences > Microbiology
pattern,patroi,Technological Sciences > Computer technology
pattern,eredu,Medical Sciences > Pharmacology
pattern,txantiloi,Technological Sciences > Mechanical engineering and technology
pattern,txantiloi,Technological Sciences > Industrial technology
pavement,zola,Technological Sciences > Construction technology
pavement,zoladura,Technological Sciences > Mechanical engineering and technology
PE,paritate-errore,Technological Sciences > Computer technology
PE,polietileno,Technological Sciences > Electrical technology and engineering
peak value,balio maximo; gehieneko balio,Technological Sciences > Electrical technology and engineering
peak value,gailur-balio,Physics > Electro-magnetism
period,periodo,Physics > Mechanics
period,periodo,Earth and Space Sciences > Geology
period,periodo,Physics > Aplied Physics
period,periodo,Technological Sciences > Electronic technology
period,periodo,Technological Sciences > Telecommunications technology
period,periodo,Technological Sciences > Electrical technology and engineering
period,periodo,Physics > Electro-magnetism
period,pelikula,Medical Sciences > Medical diagnostic and Treatment Technology
period,epe,Medical Sciences > Pharmacology
period,periodo,Physics > Optics
period,periodo,Mathematics > Analysis and functional analysis
period,periodo,Physics > General Physics specialities
peripheral vascular resistance,erresistentzia baskular periferiko,Medical Sciences > Pathology
peripheral vascular resistance,erresistentzia periferiko,Life sciences > Human physiology
perpendicular,elkarzut; perpendikular,Physics > Aplied Physics
perpendicular,perpendikular,Technological Sciences > Construction technology
perpendicular,elkarzut,Mathematics > Analysis and functional analysis
phase,fase,Medical Sciences > Pharmaceutical Technology
phase,fase,Technological Sciences > Electrical technology and engineering
phase,irabiagailu birakari; fase,Technological Sciences > Environmental technology and engineering
phase,fase,Physics > General Physics specialities
phase,fase,Physics > Optics
phase,fase,Chemistry > Physical chemistry
phase,argumentu,Mathematics > Analysis and functional analysis
phase,fase,Technological Sciences > Telecommunications technology
phase,fase,Physics > Aplied Physics
phase,fase,Physics > Fluids (physics of)
phase,fase,Physics > Thermodynamics
phase,aldi; fase,Medical Sciences > Pharmacology
phase,fase,Chemistry > Analytical chemistry
phase,fase,Physics > Electro-magnetism
phase difference,desfase,Physics > General Physics specialities
phase difference,fase-diferentzia,Technological Sciences > Telecommunications technology
phase difference,fase-angelu; fase-diferentzia,Physics > Electro-magnetism
phase difference,desfase; fase-diferentzia; transformadore baten desfase,Technological Sciences > Electrical technology and engineering
phase shift,desfase; fase-diferentzia; transformadore baten desfase,Technological Sciences > Electrical technology and engineering
phase shift,fase-lerrakuntza,Physics > Theoretical physics
phase shift,desfase; fase-aldaketa,Technological Sciences > Telecommunications technology
phase shift,fase-desplazamendu; fase-lerrakuntza; desfase,Physics > Electro-magnetism
phase shift,desfase; fase-diferentzia,Technological Sciences > Environmental technology and engineering
phase transition,fase-aldaketa,Earth and Space Sciences > Geology
phase transition,fase-aldaketa,Physics > General Physics specialities
phase transition,fase-trantsizio,Physics > Thermodynamics
phosphorus,fosforo,Technological Sciences > Environmental technology and engineering
phosphorus,fosforo iluro,Chemistry > Organic chemistry
phosphorus,fosforo,Medical Sciences > Pharmacology
physiological effect,eragin fisiologiko,Life sciences > Animal Biology
physiological effect,efektu fisiologiko,Chemistry > Organic chemistry
pill,gragea,Medical Sciences > Pharmaceutical Technology
pill,pastilla,Chemistry > Physical chemistry
pill,pilula,Medical Sciences > Pharmacology
pin,pin,Technological Sciences > Computer technology
pin,kabila; larako; ziri,Technological Sciences > Mechanical engineering and technology
pipe,hodi; tutu,Technological Sciences > Electrical technology and engineering
pipe,tutu,Technological Sciences > Mechanical engineering and technology
pipe,tutu,Technological Sciences > Environmental technology and engineering
pipe,hodi,Physics > Fluids (physics of)
pipeline,exekuzio-hodi; pipeline,Technological Sciences > Computer technology
pipeline,hoditeria; tutueria,Technological Sciences > Environmental technology and engineering
plane,plano,Mathematics > Algebra
plane,plano,Physics > Optics
plane,plano,Mathematics > Analysis and functional analysis
plane,plano,Physics > General Physics specialities
plane,arrabotatu; arrabotaz leundu; arrabota,Technological Sciences > Mechanical engineering and technology
plane,plano,Technological Sciences > Construction technology
planning,lan-planifikazio; plangintza,Technological Sciences > Projects
planning,plangintza; planifikazio,Economic Sciences > Organization and management of enterprises
planning,plangintza; planifikazio,Technological Sciences > Instrumentation technology
planning,plan; egitarau,Technological Sciences > Environmental technology and engineering
plaque-forming units,unitate plaka-sortzaileen kopuru,Medical Sciences > Microbiology
plaque-forming units,unitate plaka-sortzaile,Life sciences > Microbiology
plasma membrane,plasma-mintz; zelula-mintz,Chemistry > Organic chemistry
plasma membrane,mintz plasmatiko,Life sciences > Cell biology
plasma membrane,plasma-mintz,Life sciences > Biochemistry and Molecular Biology
plate,plaka,Earth and Space Sciences > Geology
plate,xafla,Technological Sciences > Industrial technology
plate,plaka,Medical Sciences > Pharmaceutical Technology
plate,plaka,Technological Sciences > Electrical technology and engineering
plate,plaka; xafla,Technological Sciences > Construction technology
plate,plaka,Technological Sciences > Environmental technology and engineering
plate,plaka; xafla,Physics > Aplied Physics
plate,xafla,Physics > Fluids (physics of)
plate,plaka,Technological Sciences > Electronic technology
plate,plaka; xafla,Physics > Electro-magnetism
plate tectonics,plaken tektonika,Technological Sciences > Environmental technology and engineering
plate tectonics,plaka-tektonika,Earth and Space Sciences > Geology
point of intersection,ebaki-puntu,Mathematics > Analysis and functional analysis
point of intersection,ebakidura-puntu,Technological Sciences > Construction technology
polar vector,erradio bektore,Mathematics > Analysis and functional analysis
polar vector,bektore polar; erradio bektore; posizio-bektore,Physics > Mechanics
polar vector,bektore polar,Physics > Theoretical physics
polarise,polarizaru,Physics > Aplied Physics
polarise,polarizatu,Technological Sciences > Electrical technology and engineering
polarized wave,polarizaturiko uhin,Physics > Optics
polarized wave,polarizatutako uhin,Physics > Electro-magnetism
polarizer,polarizagailu,Technological Sciences > Telecommunications technology
polarizer,polarizatzaile,Physics > Optics
polarizer,polarizagailu; polarizatzaile,Physics > Electro-magnetism
pole,polo,Physics > Theoretical physics
pole,polo,Physics > General Physics specialities
pole,zutoin; polo,Technological Sciences > Electrical technology and engineering
pole,polo,Physics > Electro-magnetism
pole,zutoin,Technological Sciences > Construction technology
pole,polo,Physics > Aplied Physics
pole,polo,Technological Sciences > Environmental technology and engineering
poliovirus,poliomielitisaren birus,Medical Sciences > Microbiology
poliovirus,poliobirus,Life sciences > Microbiology
pollutant dispersion,kutsatzaileen barreiadura,Earth and Space Sciences > Metereology and Oceanography
