basque,english,context
hemoglobina,hemoglobine,Life sciences > Animal Biology
heriotza-tasa,mortality rate,Life sciences > Microbiology
heriotza-tasa,mortality rate,Medical Sciences > Public health
heriotza-tasa,death rate,Medical Sciences > Pharmacology
hesi,fence,Technological Sciences > Projects
hesi,barrier,Medical Sciences > Pharmacology
hesi,barrier,Technological Sciences > Computer technology
hesi,bar screen,Technological Sciences > Environmental technology and engineering
hezetasun absolutu,absolute humidity,Technological Sciences > Chemical technology and engineering
hezetasun absolutu,absolute moisture,Earth and Space Sciences > Metereology and Oceanography
hidratazio,hydration,Technological Sciences > Environmental technology and engineering
hidratazio,hydration,Medical Sciences > Pharmaceutical Technology
hidratazio,hydration,Life sciences > Cell biology
hidratazio,hydratation,Chemistry > Analytical chemistry
hidrogeno-zubi,hydrogen bond; hydrogen bridge,Technological Sciences > Environmental technology and engineering
hidrogeno-zubi,hydrogen bond,Medical Sciences > Pharmaceutical Technology
hidrogeno-zubi,hydrogen bridge,Life sciences > Biochemistry and Molecular Biology
hidrokarburo,hydrocarbon,Chemistry > Organic chemistry
hidrokarburo,hidrocarbure,Chemistry > Analytical chemistry
hidrokarburo,hydrocarbon,Technological Sciences > Environmental technology and engineering
hidrokarburo,hydrocarbon,Medical Sciences > Pharmaceutical Technology
hidrokarburo,hydrocarbon,Technological Sciences > Chemical technology and engineering
hidrokarburo,hydrocarbon,Earth and Space Sciences > Geology
hidrolisi,hydrolysis,Chemistry > Organic chemistry
hidrolisi,hydrolysis,Chemistry > Analytical chemistry
hidrolisi,hydrolysis,Technological Sciences > Environmental technology and engineering
hidrolisi,hydrolysis,Chemistry > Physical chemistry
hidrolisi,hydrolisis,Life sciences > Biochemistry and Molecular Biology
hidrolisi,hydrolysis,Medical Sciences > Pharmaceutical Technology
hidrolisi,hydrolysis,Life sciences > Human physiology
hidroxilo,hydroxyl,Chemistry > Organic chemistry
hidroxilo,hydroxyl; oxydryl,Technological Sciences > Environmental technology and engineering
hidroxilo,hydroxyl,Life sciences > Cell biology
higadura,erosion,Earth and Space Sciences > Geology
higadura,erosion,Medical Sciences > Pharmaceutical Technology
higadura,wear,Technological Sciences > Mechanical engineering and technology
higadura,erosion,Technological Sciences > Environmental technology and engineering
higidura,motion,Life sciences > Cell biology
higidura,motion,Physics > Aplied Physics
higidura,movement,Medical Sciences > Pharmaceutical Technology
higidura,motion,Physics > General Physics specialities
higidura,motion; movement,Physics > Mechanics
higidura,motion,Technological Sciences > Construction technology
higidura,motion; movement,Physics > Electro-magnetism
higidura erlatibo,relative movement,Physics > Aplied Physics
higidura erlatibo,relative motion,Physics > General Physics specialities
higidura erlatibo,relative mouvement,Technological Sciences > Construction technology
higidura erlatibo,relative movement,Physics > Mechanics
higidura erlatibo,relative movement,Physics > Electro-magnetism
higidura harmoniko,harmonic motion,Physics > Aplied Physics
higidura harmoniko,harmonic motion,Technological Sciences > Mechanical engineering and technology
higidura harmoniko,harmonic motion,Physics > Electro-magnetism
higidura harmoniko,harmonic movement,Mathematics > Analysis and functional analysis
higidura oszilakor,oscillatory motion,Physics > Aplied Physics
higidura oszilakor,oscillating motion; oscillating movement; oscillatory motion,Physics > Electro-magnetism
higidura oszilakor,oscillating motion,Physics > General Physics specialities
higidura zuzen,rectilinear motion,Physics > Mechanics
higidura zuzen,linear motion,Physics > General Physics specialities
higidura zuzen,rectilinear motion,Physics > Electro-magnetism
higidura zuzen uniforme,uniform linear motion,Physics > General Physics specialities
higidura zuzen uniforme,uniform rectilinear motion; uniform straight-line motion,Physics > Mechanics
higikari,mobile,Physics > Aplied Physics
higikari,moving object,Physics > General Physics specialities
higikari,body,Physics > Mechanics
hilkortasun-tasa,mortality rate,Medical Sciences > Public health
hilkortasun-tasa,mortality,Medical Sciences > Microbiology
hipozentro,focus; hypocentre,Technological Sciences > Environmental technology and engineering
hipozentro,hypocenter; seismic focus,Earth and Space Sciences > Geology
hirigintza,urban planning; urbanism,Technological Sciences > Environmental technology and engineering
hirigintza,town planning,Technological Sciences > Construction technology
hitzarmen,commitment,Technological Sciences > Computer technology
hitzarmen,agreement,Technological Sciences > Projects
hobari,allowance; bonus,Economic Sciences > Organization and management of enterprises
hobari,bonus,Economic Sciences > General economics
hobi,niche,Technological Sciences > Electrical technology and engineering
hobi,drain,Technological Sciences > Electronic technology
hobi,hole; ore; sink,Technological Sciences > Environmental technology and engineering
hobi,gingiva; gum,Medical Sciences > Dentistry
hodi,tube,Technological Sciences > Environmental technology and engineering
hodi,tube,Chemistry > Physical chemistry
hodi,duct; pipe,Physics > Fluids (physics of)
hodi,duct,Technological Sciences > Electronic technology
hodi,conduit; duct; pipe,Technological Sciences > Electrical technology and engineering
hodi,duct,Technological Sciences > Mechanical engineering and technology
hodi,tube,Medical Sciences > Pharmaceutical Technology
homogeneizazio,equalization; homogenization,Technological Sciences > Environmental technology and engineering
homogeneizazio,homogenization,Life sciences > Biochemistry and Molecular Biology
hondakin,residue; waste,Technological Sciences > Environmental technology and engineering
hondakin,waste,Chemistry > Physical chemistry
hondakin,residue,Medical Sciences > Pharmaceutical Technology
hondakin,residue,Life sciences > Cell biology
hondakin,remainder; residue,Life sciences > Microbiology
hondakin-ur,sewage; waste water; wastewater,Technological Sciences > Environmental technology and engineering
hondakin-ur,wastewater,Life sciences > Microbiology
hondakin-ur,aqueous residue,Chemistry > Analytical chemistry
hondar,residual,Economic Sciences > Econometrics
hondar,rest,Life sciences > Biochemistry and Molecular Biology
hondar,remainder,Mathematics > Algebra
hondar,residue; waste; sand,Technological Sciences > Environmental technology and engineering
hondar,residual,Mathematics > Statistics
hondar,waste,Life sciences > Animal Biology
hondar,residue,Chemistry > Physical chemistry
hondar,remainder; residue,Mathematics > Analysis and functional analysis
hondar,waste,Medical Sciences > Pharmaceutical Technology
hormona antidiuretiko,antidiuretic hormone,Life sciences > Human physiology
hormona antidiuretiko,antidiuretic hormone; vasopressin,Life sciences > Animal Biology
hormona antidiuretiko,vasopresin,Life sciences > Biochemistry and Molecular Biology
hornitzaile,supplier,Technological Sciences > Projects
hornitzaile,provider,Technological Sciences > Electronic technology
hornitzaile,supplier; supply undertaking,Technological Sciences > Electrical technology and engineering
hornitzaile,supplier,Medical Sciences > Pharmaceutical Technology
hornitzaile,supplier,Economic Sciences > Organization and management of enterprises
hoztaile,condenser; coolant,Chemistry > Physical chemistry
hoztaile,coolant; refrigerant,Technological Sciences > Environmental technology and engineering
hoztaile,condenser,Chemistry > Organic chemistry
hustuketa,drilling,Technological Sciences > Industrial technology
hustuketa,emptying,Medical Sciences > Pharmacology
huts,vacuum,Physics > General Physics specialities
huts,error; failure,Medical Sciences > Pharmacology
huts,vacuum,Physics > Electro-magnetism
huts,vacuum,Technological Sciences > Environmental technology and engineering
hutsune,blank character; space character,Technological Sciences > Computer technology
hutsune,electron hole; electron-hole; hole,Technological Sciences > Electronic technology
ibilbide,path; trajectory,Physics > Mechanics
ibilbide,trajectory,Physics > General Physics specialities
ibilbide,trajectory,Technological Sciences > Mechanical engineering and technology
ibilbide,trajectory,Physics > Aplied Physics
ibilbide,path; trajectory,Physics > Fluids (physics of)
ibilbide,trayectory,Physics > Thermodynamics
ibilbide,path,Technological Sciences > Electronic technology
ibilbide,path; trajectory,Physics > Electro-magnetism
ibilbide,trajectory,Mathematics > Analysis and functional analysis
ibiltarte,range,Economic Sciences > Econometrics
ibiltarte,stroke,Technological Sciences > Mechanical engineering and technology
igorle,emitter; transmitter,Technological Sciences > Telecommunications technology
igorle,data transmitter; transmitter,Technological Sciences > Computer technology
igorle,emitter,Physics > Aplied Physics
igorle,emitter,Physics > Electro-magnetism
igorle,emitter,Technological Sciences > Electronic technology
igorle,emitter; sender; source,Technological Sciences > Environmental technology and engineering
igorpen,emission,Medical Sciences > Medical diagnostic and Treatment Technology
igorpen,emission,Chemistry > Analytical chemistry
igorpen,discharge; dump; dumping; emission; release,Technological Sciences > Environmental technology and engineering
igorpen,emission,Technological Sciences > Telecommunications technology
igorpen,emission,Physics > General Physics specialities
igorpen,emission,Physics > Theoretical physics
igorpen,emission,Physics > Electro-magnetism
ikerlan,research,Medical Sciences > Pharmaceutical Technology
ikerlan,research work,Life sciences > Biochemistry and Molecular Biology
ikur,symbol,Technological Sciences > Construction technology
ikur,symbol,Technological Sciences > Mechanical engineering and technology
ikur,sign,Mathematics > Analysis and functional analysis
ikusgai,visible,Technological Sciences > Computer technology
ikusgai,visible radiation,Physics > General Physics specialities
ikuskapen,inspection,Technological Sciences > Mechanical engineering and technology
ikuskapen,inspection,Medical Sciences > Pharmaceutical Technology
ikuskapen,inspection,Technological Sciences > Projects
ikuskapen,monitoring,Technological Sciences > Telecommunications technology
ikuskapen,inspection,Economic Sciences > Organization and management of enterprises
ikusmen,sight,Physics > Optics
ikusmen,vision,Life sciences > Animal Biology
ikusmen,sight,Medical Sciences > Pharmacology
ikusmen,vision,Medical Sciences > Pharmaceutical Technology
immunosupresore,immunosuppressor,Life sciences > Human physiology
immunosupresore,immunosuppressant,Chemistry > Organic chemistry
immunosupresore,immunosuppresive drug,Medical Sciences > Microbiology
inbentario,inventory; stocktaking,Economic Sciences > Organization and management of enterprises
inbentario,inventory,Technological Sciences > Environmental technology and engineering
inbertsio,investment,Economic Sciences > Organization and management of enterprises
inbertsio,investment,Technological Sciences > Environmental technology and engineering
inbertsio,investment,Economic Sciences > General economics
inbertsio,investment,Economic Sciences > Economic theory
inbertsio,reversal,Technological Sciences > Telecommunications technology
inbertsio,investment,Technological Sciences > Projects
inbertsore,inverter; NOT gate,Technological Sciences > Electronic technology
inbertsore,inverter,Technological Sciences > Electrical technology and engineering
inbertsore,investor,Economic Sciences > Organization and management of enterprises
indar,force,Chemistry > Physical chemistry
indar,force,Technological Sciences > Electrical technology and engineering
indar,force,Physics > Mechanics
indar,force,Technological Sciences > Construction technology
indar,stress,Medical Sciences > Pharmaceutical Technology
indar,force,Physics > General Physics specialities
indar,force,Physics > Electro-magnetism
indar bultzatzaile,driving force,Technological Sciences > Environmental technology and engineering
indar bultzatzaile,pushing force,Physics > Aplied Physics
indar intermolekular,intermolecular force,Chemistry > Physical chemistry
indar intermolekular,intermolecular link,Technological Sciences > Environmental technology and engineering
indar-bikote,force couple,Physics > Thermodynamics
indar-bikote,couple of forces,Physics > Electro-magnetism
indar-pare,couple of forces,Physics > Electro-magnetism
indar-pare,torque,Technological Sciences > Electrical technology and engineering
indar-pare,couple,Technological Sciences > Construction technology
indargabetze-koefiziente,damping coefficient,Physics > Electro-magnetism
indargabetze-koefiziente,attenuation coefficient,Medical Sciences > Medical diagnostic and Treatment Technology
indargarri,reinforcement,Medical Sciences > Medical diagnostic and Treatment Technology
indargarri,stiffener; strengthening,Technological Sciences > Mechanical engineering and technology
indargetzaile,damper,Physics > Aplied Physics
indargetzaile,buffer,Life sciences > Human physiology
indargetzaile,buffer,Medical Sciences > Pharmaceutical Technology
indargetzaile,buffer,Chemistry > Analytical chemistry
indargetzaile,buffer,Chemistry > Organic chemistry
indargetzaile,buffer; weakening,Technological Sciences > Environmental technology and engineering
indarren erresultante,force resultant,Technological Sciences > Construction technology
indarren erresultante,resultant force,Technological Sciences > Environmental technology and engineering
indartzaile,reinforcing,Technological Sciences > Environmental technology and engineering
indartzaile,intensifier,Medical Sciences > Medical diagnostic and Treatment Technology
indeterminazio,indeterminacy; uncertainty,Physics > Electro-magnetism
indeterminazio,indeterminate; indetermination,Mathematics > Analysis and functional analysis
indize,index,Technological Sciences > Computer technology
indize,rate,Medical Sciences > Pharmacology
indize,index,Physics > Electro-magnetism
indize,index,Mathematics > Algebra
indize,index,Technological Sciences > Environmental technology and engineering
indize,index,Medical Sciences > Pharmaceutical Technology
indukzio,induction,Physics > Aplied Physics
indukzio,induction,Technological Sciences > Environmental technology and engineering
indukzio,induction,Physics > Electro-magnetism
indukzio,induction,Medical Sciences > Pharmacology
indukzio,induction,Mathematics > Algebra
indukzio,induction,Chemistry > Analytical chemistry
indukzio,induction,Technological Sciences > Electrical technology and engineering
indukzio,induction; mathematical induction,Mathematics > Analysis and functional analysis
indukzio,induction,Technological Sciences > Food technology
induzitu,induce; armature,Technological Sciences > Electrical technology and engineering
induzitu,induce,Physics > General Physics specialities
induzitu,induce,Physics > Electro-magnetism
induzitu,induce; armature,Physics > Aplied Physics
induzitutako indar elektroeragile,induced emf,Physics > Aplied Physics
induzitutako indar elektroeragile,induced electromotive force,Physics > Electro-magnetism
induzitutako intentsitate,induced intensity,Physics > Electro-magnetism
induzitutako intentsitate,induced current; intensidad inducida,Physics > Aplied Physics
infinitu,infinite,Medical Sciences > Pharmaceutical Technology
infinitu,infinity,Mathematics > Statistics
infinitu,infinite; infinity,Mathematics > Analysis and functional analysis
infinitu,infinite,Physics > Aplied Physics
inflexio-puntu,flex; inflexion point; point of inflection,Mathematics > Analysis and functional analysis
inflexio-puntu,inflexion point,Chemistry > Analytical chemistry
inflexio-puntu,saddle point,Chemistry > Organic chemistry
inguratzaile,enclosure,Technological Sciences > Electrical technology and engineering
inguratzaile,envelope; wave envelope,Technological Sciences > Telecommunications technology
inguru basiko,basic medium,Chemistry > Organic chemistry
inguru basiko,alkaline medium,Chemistry > Analytical chemistry
ingurune,neighborhood; neighbourhood,Mathematics > Analysis and functional analysis
ingurune,environment; medium,Technological Sciences > Environmental technology and engineering
ingurune,neighborhood,Mathematics > Topology
ingurune,medium,Life sciences > Cell biology
ingurune,medium,Physics > Aplied Physics
ingurune,medium; surroundings,Physics > Thermodynamics
ingurune,media,Medical Sciences > Pharmaceutical Technology
ingurune,medium,Physics > Electro-magnetism
ingurune,environment,Technological Sciences > Computer technology
ingurune laburtu,abridged neighbourhood,Mathematics > Analysis and functional analysis
ingurune laburtu,punctured neighborhood,Mathematics > Topology
inhibizio entzimatiko,enzymatic inhibition,Life sciences > Biochemistry and Molecular Biology
inhibizio entzimatiko,enzyme inhibition,Chemistry > Organic chemistry
inkesta epidemiologiko,epidemiological questionnaire,Medical Sciences > Microbiology
inkesta epidemiologiko,epidemiologic survey,Medical Sciences > Public health
inklinazio-angelu,tilt angle,Technological Sciences > Electrical technology and engineering
inklinazio-angelu,inclination angle,Technological Sciences > Industrial technology
inklinazio-angelu,elevation angle,Technological Sciences > Telecommunications technology
instrukzio,command; instruction; sentence,Technological Sciences > Computer technology
instrukzio,instruction,Technological Sciences > Instrumentation technology
instrukzio,instruction,Technological Sciences > Telecommunications technology
integrazio-eskala,scale of integration,Technological Sciences > Computer technology
integrazio-eskala,integration scale,Technological Sciences > Electronic technology
integrazio-konstante,integration constant,Physics > Electro-magnetism
integrazio-konstante,constant of integration,Physics > General Physics specialities
integrazio-muga,limits of integration,Mathematics > Analysis and functional analysis
integrazio-muga,integration limit,Physics > Electro-magnetism
intentsitate induzitu,induced current; intensidad inducida,Physics > Aplied Physics
intentsitate induzitu,induced intensity,Physics > Electro-magnetism
interes-tasa,interes rate; interest rate,Economic Sciences > Economic theory
interes-tasa,interest rate,Technological Sciences > Projects
interes-tasa,interest rate,Economic Sciences > Organization and management of enterprises
interes-tasa,interest rate,Economic Sciences > General economics
interferentzia-irudi,interference image,Physics > Optics
interferentzia-irudi,interference figure,Earth and Space Sciences > Geology
interferon,interferon,Medical Sciences > Microbiology
interferon,interferon,Life sciences > Human physiology
interferon,interpheron,Life sciences > Biochemistry and Molecular Biology
intsulina,insulin,Life sciences > Biochemistry and Molecular Biology
intsulina,insulin; insuline,Medical Sciences > Pharmacology
intsulina,insulin,Medical Sciences > Pharmaceutical Technology
intsulina,insuline,Life sciences > Animal Biology
ipar,north,Physics > Aplied Physics
ipar,north wind,Earth and Space Sciences > Metereology and Oceanography
irabazi,gain,Technological Sciences > Telecommunications technology
irabazi,gain; net worth; profit,Economic Sciences > General economics
irabazi,gain,Physics > Electro-magnetism
irabazi,benefit; profit,Economic Sciences > Economic theory
irabazi,profit,Economic Sciences > Organization and management of enterprises
iragarpen,forecast; prediction,Technological Sciences > Environmental technology and engineering
iragarpen,forecast,Economic Sciences > Organization and management of enterprises
iragarpen,forecast,Technological Sciences > Projects
iragazketa,filtering,Technological Sciences > Telecommunications technology
iragazketa,filtration,Life sciences > Microbiology
iragazketa,filtration,Life sciences > Human physiology
iragazketa,filtration,Technological Sciences > Environmental technology and engineering
iragazketa,filtration,Medical Sciences > Pharmaceutical Technology
iragazketa,filtration,Medical Sciences > Medical diagnostic and Treatment Technology
iragazketa,filtration,Chemistry > Analytical chemistry
iraulketa,turnover,Technological Sciences > Environmental technology and engineering
iraulketa,transposition,Mathematics > Analysis and functional analysis
iraungitze-data,expiration date,Technological Sciences > Food technology
iraungitze-data,use by date,Medical Sciences > Nutritional sciences
iraungitze-data,expiration date,Medical Sciences > Pharmaceutical Technology
iraunkortasun,durability,Technological Sciences > Computer technology
iraunkortasun,sustainability; persistence,Technological Sciences > Environmental technology and engineering
iraupen,duration,Technological Sciences > Projects
iraupen,duration,Technological Sciences > Telecommunications technology
iraupen,length,Medical Sciences > Pharmaceutical Technology
iraupen,duration,Medical Sciences > Pharmacology
irrati-frekuentzia,radio-frequency,Technological Sciences > Telecommunications technology
irrati-frekuentzia,radio frequency; RF,Physics > Electro-magnetism
irrati-frekuentzia,radio-frequency,Chemistry > Organic chemistry
irrati-maiztasun,radio-frequency,Technological Sciences > Telecommunications technology
irrati-maiztasun,radio frequency,Physics > General Physics specialities
irrati-maiztasun,radio frequency; RF,Physics > Electro-magnetism
irristadura,sliding,Technological Sciences > Mechanical engineering and technology
irristadura,slip,Physics > Aplied Physics
irudi,image,Physics > Optics
irudi,image,Mathematics > Analysis and functional analysis
irudi,image,Medical Sciences > Medical diagnostic and Treatment Technology
irudi,image,Mathematics > Algebra
irudi,image,Physics > Electro-magnetism
irudi,frame,Physics > Theoretical physics
isolagailu,insulator,Technological Sciences > Electrical technology and engineering
isolagailu,isolator,Technological Sciences > Telecommunications technology
isolagailu,isolator,Physics > Electro-magnetism
isolamendu,isolation,Life sciences > Microbiology
isolamendu,insulation; isolation; isolement,Technological Sciences > Construction technology
isolamendu,insulation; isolation,Technological Sciences > Electrical technology and engineering
isolamendu,isolation,Medical Sciences > Public health
isolamendu,isolation,Technological Sciences > Projects
isolamendu,insulation,Technological Sciences > Electronic technology
isolamendu,isolate,Medical Sciences > Microbiology
isolamendu,insulation,Chemistry > Physical chemistry
isolamendu-maila,insulation level,Technological Sciences > Electrical technology and engineering
isolamendu-maila,isolation level,Technological Sciences > Computer technology
isolatzaile,insulator,Technological Sciences > Electrical technology and engineering
isolatzaile,insulator,Technological Sciences > Electronic technology
isolatzaile,isolator,Physics > Aplied Physics
isolatzaile,insulator,Physics > Electro-magnetism
isolatzaile,insulator; isolating,Technological Sciences > Environmental technology and engineering
isolatzaile,insulating,Technological Sciences > Food technology
isurialde,water shed,Technological Sciences > Environmental technology and engineering
isurialde,slope,Technological Sciences > Construction technology
isurketa,dump; dumping; spill,Physics > Fluids (physics of)
isurketa,discharge; dump; dumping; emission; release,Technological Sciences > Environmental technology and engineering
isurketa,spill,Life sciences > Animal Biology
isurpen,discharge; dump; dumping; emission; release,Technological Sciences > Environmental technology and engineering
isurpen,creep,Technological Sciences > Construction technology
isurpen,leak,Medical Sciences > Medical diagnostic and Treatment Technology
itsas maila,sea level,Technological Sciences > Electrical technology and engineering
itsas maila,sea-level,Earth and Space Sciences > Metereology and Oceanography
itsasikara,seaquake,Earth and Space Sciences > Metereology and Oceanography
itsasikara,tsunami,Technological Sciences > Environmental technology and engineering
iturburu,emitter; sender; source; fontain; spring,Technological Sciences > Environmental technology and engineering
iturburu,source code; source program,Technological Sciences > Computer technology
iturri,source,Medical Sciences > Pharmaceutical Technology
iturri,emitter; sender; source; fontain; spring,Technological Sciences > Environmental technology and engineering
iturri,source,Physics > Aplied Physics
iturri,source,Physics > Electro-magnetism
iturri,source,Technological Sciences > Electronic technology
iturri,source,Technological Sciences > Electrical technology and engineering
iturri,source,Chemistry > Analytical chemistry
itxitura,infilling,Technological Sciences > Construction technology
itxitura,closure,Mathematics > Topology
itxitura,closing device; closure,Technological Sciences > Environmental technology and engineering
itxitura,closure; lock,Medical Sciences > Pharmaceutical Technology
itxura,form,Medical Sciences > Pharmacology
itxura,appearance,Technological Sciences > Food technology
itxurazko elkargune,virtual intersection,Technological Sciences > Mechanical engineering and technology
itxurazko elkargune,fictitious intersection,Technological Sciences > Industrial technology
itxurazko inguru,apparent profile,Technological Sciences > Mechanical engineering and technology
itxurazko inguru,limiting contour,Technological Sciences > Industrial technology
izendapen,designation,Technological Sciences > Industrial technology
izendapen,name,Medical Sciences > Pharmaceutical Technology
izotz-kristal,ice-crystal,Technological Sciences > Environmental technology and engineering
izotz-kristal,ice crystals,Life sciences > Cell biology
izotz-kristal,ice crystal,Technological Sciences > Food technology
izozte,frost,Technological Sciences > Environmental technology and engineering
izozte,freezing,Medical Sciences > Pharmaceutical Technology
izozte-tenperatura,freezing temperature,Technological Sciences > Food technology
izozte-tenperatura,freezing point,Chemistry > Physical chemistry
izpi,ray,Chemistry > Physical chemistry
izpi,ray,Physics > Optics
izpi,ray,Technological Sciences > Environmental technology and engineering
izpi,ray,Physics > General Physics specialities
izpi,beam,Medical Sciences > Pharmaceutical Technology
izpi,ray,Medical Sciences > Medical diagnostic and Treatment Technology
izpi,ray,Technological Sciences > Electronic technology
izpi,ray,Physics > Electro-magnetism
izpi,ray,Physics > Aplied Physics
izpi ultramore,ultraviolet ray,Medical Sciences > Medical diagnostic and Treatment Technology
izpi ultramore,ultraviolet ray,Physics > General Physics specialities
izpi ultramore,UV ray,Physics > Electro-magnetism
izpi ultramore,ultraviolet ray; UV ray,Life sciences > Microbiology
izurri,plague,Medical Sciences > Microbiology
izurri,pest,Life sciences > Animal Biology
jalkin,pellet,Life sciences > Biochemistry and Molecular Biology
jalkin,sediment,Technological Sciences > Environmental technology and engineering
jalkin,precipitate,Medical Sciences > Pharmaceutical Technology
jariakin,secretion,Medical Sciences > Microbiology
jariakin,fluid,Technological Sciences > Environmental technology and engineering
jariakin,fluid,Physics > General Physics specialities
jariakin,fluid,Physics > Aplied Physics
jariakin,secretion,Life sciences > Human physiology
jariakin,fluid,Physics > Mechanics
jariapen,flow index; fluidity,Medical Sciences > Pharmaceutical Technology
jariapen,secretion,Medical Sciences > Pharmacology
jariapen,secretion,Life sciences > Cell biology
jariapen,secretion,Life sciences > Microbiology
jariatze,runoff,Technological Sciences > Environmental technology and engineering
jariatze,secretion,Life sciences > Animal Biology
jario,flux,Life sciences > Biochemistry and Molecular Biology
jario,flow; flow rate; flowrate,Technological Sciences > Environmental technology and engineering
jario,flux,Physics > Mechanics
jarraibide,indication; instructions,Medical Sciences > Pharmacology
jarraibide,guidelines,Medical Sciences > Nutritional sciences
jasangarritasun,sustainability,Technological Sciences > Environmental technology and engineering
jasangarritasun,tolerance,Medical Sciences > Pharmacology
jatorri,intercept,Economic Sciences > Econometrics
jatorri,origin,Life sciences > Cell biology
jatorri,coordinate origin; origin,Technological Sciences > Industrial technology
jatorri,origin,Technological Sciences > Mechanical engineering and technology
jatorri,coordinate origin; origin; origin of coordinates,Mathematics > Analysis and functional analysis
jatorri,origin,Medical Sciences > Pharmacology
jatorri,origin,Medical Sciences > Medical diagnostic and Treatment Technology
jatorri,origin,Physics > Electro-magnetism
jatorri,origin,Mathematics > Algebra
joera,trend,Economic Sciences > Econometrics
joera,trend,Physics > Electro-magnetism
joera,tendency,Medical Sciences > Pharmacology
juntura,junction,Technological Sciences > Electronic technology
juntura,joint,Technological Sciences > Environmental technology and engineering
juntura,joint,Technological Sciences > Mechanical engineering and technology
KA,variable cost,Economic Sciences > General economics
KA,alternating current; alternative current,Technological Sciences > Electrical technology and engineering
kalibre,gauge,Technological Sciences > Mechanical engineering and technology
kalibre,calibre; rating,Technological Sciences > Electrical technology and engineering
kalkulu,calculation; calculus; computation,Mathematics > Analysis and functional analysis
kalkulu,calculation,Chemistry > Physical chemistry
kalkulu,calculus,Medical Sciences > Pharmacology
kalkulu,calculation,Mathematics > Algebra
kalkulu,calculus,Medical Sciences > Dentistry
kalte,damage,Technological Sciences > Projects
kalte,damage; harm,Medical Sciences > Pharmacology
kalte,bad,Economic Sciences > Economic theory
kanpo-gainazal,external surface,Technological Sciences > Industrial technology
kanpo-gainazal,outer surface,Life sciences > Cell biology
kanpo-indar,external force,Physics > General Physics specialities
kanpo-indar,exterior force; external forces,Technological Sciences > Construction technology
kanpo-indar,external force,Physics > Aplied Physics
kanpo-indar,external force,Physics > Electro-magnetism
kanpo-merkatu,foreign market,Economic Sciences > General economics
kanpo-merkatu,external market,Economic Sciences > Organization and management of enterprises
kanpoalde,exterior,Mathematics > Analysis and functional analysis
kanpoalde,outside part,Physics > Electro-magnetism
kantitate,amount,Medical Sciences > Pharmaceutical Technology
kantitate,quantity,Technological Sciences > Instrumentation technology
kapital sozial,share capital,Economic Sciences > Economic accounting
kapital sozial,equity capital,Economic Sciences > Organization and management of enterprises
kapside helikoidal,helicoidal capsid,Life sciences > Microbiology
kapside helikoidal,helical capsid,Medical Sciences > Microbiology
kardinal,cardinal,Mathematics > Statistics
kardinal,cardinal,Mathematics > Topology
kardinal,cardinality,Mathematics > Algebra
karga,charge,Chemistry > Physical chemistry
karga,charge; load,Technological Sciences > Environmental technology and engineering
karga,charge,Medical Sciences > Pharmaceutical Technology
karga,charge; load,Technological Sciences > Construction technology
karga,charge,Physics > Mechanics
karga,load,Technological Sciences > Electrical technology and engineering
karga,charge,Chemistry > Analytical chemistry
karga,charge; electric charge; electrical charge; load impedance,Physics > Electro-magnetism
karga,load impedance,Technological Sciences > Telecommunications technology
karga,charge,Physics > Fluids (physics of)
karga,electric charge; electrical charge; charge,Technological Sciences > Electronic technology
karga,charge,Physics > Aplied Physics
karga elektriko,electric charge; electrical charge,Technological Sciences > Electronic technology
karga elektriko,electric charge,Physics > Aplied Physics
karga elektriko,electric load; electrical load; load,Technological Sciences > Electrical technology and engineering
karga elektriko,electric charge,Medical Sciences > Pharmaceutical Technology
karga elektriko,electric charge,Physics > General Physics specialities
karga elektriko,electric charge,Chemistry > Physical chemistry
karga elektriko,electric charge; electrical charge,Technological Sciences > Environmental technology and engineering
karga elektriko,charge; electric charge; electrical charge,Physics > Electro-magnetism
karga total,total charge,Physics > Electro-magnetism
karga total,total load,Technological Sciences > Environmental technology and engineering
karga-banaketa,load distribution,Technological Sciences > Construction technology
karga-banaketa,charge distribution,Physics > General Physics specialities
karga-banaketa,charge distribution,Physics > Aplied Physics
karga-banaketa,charge distribution,Physics > Electro-magnetism
karga-banaketa,charge distribution,Chemistry > Organic chemistry
karga-galera,friction head,Physics > Fluids (physics of)
karga-galera,head loss; pressure drop,Technological Sciences > Chemical technology and engineering
karga-galera,head loss,Technological Sciences > Environmental technology and engineering
karga-sistema,charge system,Physics > Aplied Physics
karga-sistema,loading system,Technological Sciences > Construction technology
karga-sistema,system of charges,Physics > Electro-magnetism
kargaren kontserbazio-printzipio,charge conservation principle,Technological Sciences > Electronic technology
kargaren kontserbazio-printzipio,law of the conservation of charge,Technological Sciences > Electrical technology and engineering
karraskari,rodent,Medical Sciences > Microbiology
karraskari,crunchy,Technological Sciences > Food technology
katalogo,catalog,Technological Sciences > Computer technology
katalogo,catalogue,Technological Sciences > Projects
kate,character string; string,Technological Sciences > Computer technology
kate,chain,Mathematics > Algebra
kate,chain,Medical Sciences > Pharmaceutical Technology
kate epidemiologiko,epidemiology chain,Medical Sciences > Public health
kate epidemiologiko,epidemiological chain,Life sciences > Microbiology
kate epidemiologiko,epidemiological chain,Medical Sciences > Microbiology
kazkabar,hail,Earth and Space Sciences > Metereology and Oceanography
kazkabar,hailstone,Technological Sciences > Environmental technology and engineering
